season,celebrity_name,wiki_title,year,year_total,year_mean,year_peak,year_std,season_total,season_mean,season_peak,season_std,baseline_mean,lift,status
23,Rick Perry,Rick_Perry,2016,789777.0,2157.8606557377047,45342.0,4070.6766572397137,204556.0,2881.0704225352115,36814.0,4644.106946773388,1931.142857142857,949.9275653923544,ok
23,Ryan Lochte,Ryan_Lochte,2016,2954548.0,8072.535519125683,252457.0,28961.59244986962,344295.0,4849.225352112676,78825.0,9863.584671352231,45781.142857142855,-40931.91750503018,ok
23,Terra Jole,Terra_Jolé,2016,79020.0,1254.2857142857142,21846.0,2905.300167147018,57838.0,2514.695652173913,21846.0,4457.752147856611,,,ok
23,Vanilla Ice,Vanilla_Ice,2016,1420330.0,3880.6830601092897,91447.0,5867.184246426587,519013.0,7310.042253521126,91447.0,12353.03775428449,3084.285714285714,4225.756539235412,ok
24,Bonner Bolton,Bonner_Bolton,2017,367972.0,1286.6153846153845,41582.0,4440.74060386466,316980.0,5031.428571428572,41582.0,8427.291810586066,,,ok
24,Charo,Charo,2017,1945205.0,5329.328767123287,472153.0,29286.225016772103,1345337.0,21020.890625,472153.0,66925.1671841667,8764.67857142857,12256.21205357143,ok
24,Chris Kattan,Chris_Kattan,2017,897112.0,2457.841095890411,184801.0,12143.912227919265,541538.0,8461.53125,184801.0,28189.731559652595,2304.535714285714,6156.995535714286,ok
24,David Ross,Adin_Ross,2017,,,,,,,,,,,ok
24,Erika Jayne,Erika_Jayne,2017,1407792.0,3856.964383561644,93038.0,7649.65248392101,626224.0,9784.75,93038.0,15684.126244789666,7086.071428571428,2698.6785714285716,ok
24,Heather Morris,Heather_Morris,2017,667893.0,1829.8438356164384,50093.0,4571.335105507532,346809.0,5418.890625,50093.0,9754.558751740753,3059.1071428571427,2359.7834821428573,ok
24,Mr. T,Mr._T,2017,1823480.0,4995.835616438356,199894.0,13272.205358974305,870271.0,13597.984375,199894.0,29911.967012850906,6048.214285714285,7549.770089285715,ok
24,Nancy Kerrigan,Nancy_Kerrigan,2017,2334875.0,6396.917808219178,113060.0,11225.426393406731,806521.0,12601.890625,113060.0,22084.62787715501,6096.107142857143,6505.783482142857,ok
24,Nick Viall,Nick_Viall,2017,240707.0,844.5859649122807,5122.0,684.1235733861722,73245.0,1181.3709677419354,4494.0,848.4109669461772,,,ok
24,Normani,Normani,2017,1025.0,3.4982935153583616,91.0,8.521254123187353,439.0,7.440677966101695,64.0,12.3470591934599,1.4736842105263157,5.966993755575379,ok
